EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
446924.841,-44708.633,433935.550,-31377.366,-6097.399,-86279.481,-5211.829,-2345.199,-0.110,0.977,-0.142,-0.061,2.197,0.641,60.000,135.000,1.000
440887.790,-44545.064,427965.493,-31215.638,-6314.816,-87683.005,-5454.662,-2597.460,-0.112,0.977,-0.143,0.122,2.197,0.702,60.000,136.000,1.000
434862.357,-44372.541,422023.283,-31103.903,-6505.825,-89054.373,-5713.644,-2850.211,-0.111,0.979,-0.145,0.153,2.319,0.702,60.000,137.000,1.000
428883.918,-44222.189,416103.866,-31059.814,-6652.798,-90375.792,-5963.036,-3096.100,-0.109,0.979,-0.147,0.153,2.319,0.763,60.000,138.000,1.000
422967.904,-44095.625,410209.364,-31035.137,-6773.613,-91646.209,-6178.887,-3326.190,-0.109,0.977,-0.145,0.214,2.380,0.793,60.000,139.000,1.000
417096.917,-43968.584,404347.706,-30966.045,-6910.254,-92890.635,-6368.023,-3542.349,-0.112,0.976,-0.146,0.183,2.441,0.763,60.000,140.000,1.000
411239.098,-43818.483,398526.694,-30830.744,-7083.619,-94134.925,-6560.374,-3754.345,-0.111,0.976,-0.144,0.183,2.563,0.793,60.000,141.000,1.000
405380.726,-43647.458,392744.078,-30675.824,-7261.456,-95369.126,-6772.854,-3966.693,-0.112,0.976,-0.145,0.519,2.655,0.824,60.000,142.000,1.000
399542.494,-43480.361,386986.066,-30576.402,-7390.861,-96557.199,-6988.432,-4173.636,-0.115,0.977,-0.142,0.641,2.686,0.763,60.000,143.000,1.000
393758.629,-43338.641,381242.394,-30550.370,-7467.430,-97682.809,-7177.136,-4368.029,-0.116,0.977,-0.142,0.702,2.655,0.580,60.000,144.000,1.000
388035.745,-43214.930,375521.295,-30523.144,-7549.833,-98776.272,-7334.481,-4551.386,-0.116,0.976,-0.143,0.732,2.441,0.336,60.000,145.000,1.000
382340.298,-43078.597,369841.410,-30408.709,-7687.490,-99878.741,-7488.341,-4731.540,-0.117,0.978,-0.141,0.793,2.350,0.153,60.000,146.000,1.000
376637.087,-42911.227,364206.714,-30223.704,-7850.955,-100984.975,-7663.894,-4912.094,-0.116,0.978,-0.143,0.824,2.411,0.061,60.000,147.000,1.000
370935.387,-42731.227,358598.083,-30079.518,-7965.207,-102049.294,-7851.021,-5088.453,-0.114,0.980,-0.140,0.793,2.319,-0.061,60.000,148.000,1.000
365280.869,-42573.192,352997.128,-30041.335,-8010.165,-103045.311,-8016.971,-5254.755,-0.112,0.982,-0.140,0.916,2.228,-0.153,60.000,149.000,1.000
359696.903,-42443.507,347411.925,-30033.829,-8052.873,-104004.478,-8149.338,-5411.835,-0.109,0.982,-0.141,0.916,2.167,-0.122,60.000,150.000,1.000
354150.719,-42309.789,341867.771,-29932.993,-8160.257,-104976.617,-8273.015,-5565.675,-0.107,0.981,-0.143,0.885,2.289,-0.092,60.000,151.000,1.000
348593.728,-42142.063,336372.692,-29734.394,-8306.825,-105961.363,-8417.901,-5719.358,-0.109,0.983,-0.146,0.854,2.350,-0.092,60.000,152.000,1.000
343026.267,-41954.035,330904.600,-29568.079,-8406.406,-106910.024,-8579.684,-5869.845,-0.109,0.985,-0.144,0.824,2.350,0.000,60.000,153.000,1.000
337499.217,-41787.798,325440.056,-29527.562,-8429.170,-107791.253,-8725.778,-6012.960,-0.109,0.984,-0.147,0.702,2.411,0.153,60.000,154.000,1.000
332046.254,-41658.433,319986.260,-29539.476,-8444.586,-108635.654,-8839.118,-6149.362,-0.111,0.985,-0.147,0.732,2.502,0.244,60.000,155.000,1.000
326636.964,-41532.174,314571.738,-29457.598,-8528.320,-109495.678,-8941.146,-6283.402,-0.109,0.983,-0.146,0.549,2.533,0.305,60.000,156.000,1.000
321216.347,-41370.174,309207.301,-29260.665,-8658.722,-110373.251,-9063.087,-6417.131,-0.112,0.983,-0.144,0.671,2.502,0.397,60.000,157.000,1.000
315779.103,-41180.674,303870.689,-29083.564,-8745.696,-111219.088,-9204.246,-6547.910,-0.112,0.984,-0.142,0.671,2.350,0.397,60.000,158.000,1.000
310377.833,-41008.532,298536.988,-29034.436,-8753.290,-111997.792,-9333.044,-6672.068,-0.112,0.982,-0.143,0.580,2.411,0.427,60.000,159.000,1.000
305052.302,-40874.788,293213.011,-29045.908,-8748.350,-112734.895,-9429.364,-6789.467,-0.114,0.983,-0.143,0.549,2.350,0.366,60.000,160.000,1.000
299775.468,-40748.019,287928.109,-28966.102,-8808.682,-113481.115,-9511.009,-6903.105,-0.113,0.982,-0.144,0.488,2.350,0.366,60.000,161.000,1.000
294490.020,-40586.853,282693.791,-28766.353,-8917.270,-114242.017,-9609.250,-7015.036,-0.112,0.982,-0.142,0.427,2.228,0.336,60.000,162.000,1.000
